Transportadora;Metodo;Cep Inicial;Cep Final;Peso Inicial Kg;Peso Final Kg;Valor Inicial R$;Valor Final R$;Cubagem;Limite Peso Kg;Prazo Entrega;Formula;Frete Valor R$;Excedente R$;AdValor %;Peso Excedente Kg;Valor Por Kg R$;Despacho R$;Total Minimo R$;Imposto %;Seguro %;Seguro Minimo R$;Gris %;Gris Minimo R$;Pedagio R$;Pedagio Fração R$;Tas %;Tas Minimo R$;Emex %;Emex Minimo R$;Taxa Minima R$;Taxa Maxima R$;Taxa %;Fração Taxa Peso;Taxa Sobre
"4A Logística";"Normal";"24000-000";"24399-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"24000-000";"24399-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"24000-000";"24399-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"24000-000";"24399-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"24000-000";"24399-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"24000-000";"24399-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25000-000";"25599-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25000-000";"25599-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25000-000";"25599-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25000-000";"25599-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
